Department,Page Title,Box Title,Box Subtitle,Box Text,Box Image Url,Box Image Alt,Page URL
International Relations,Research,Watch video:, Are there elections taking place in wartime?,"Mariia Zolkina, DINAM Research Fellow, explains the cases of Ukraine and Russia",https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/elections-in-wartime-747x560.jpg,elections-in-wartime-747x560,https://www.lse.ac.uk//international-relations/research
International Relations,Research,COVID-19: research and writing, Read the contributions from our faculty and students on the global pandemic,None,https://www.lse.ac.uk/international-relations/assets/images/misc-news/covid19-747x420.jpg,covid19_747x420,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Research Excellence Framework 2021 Results, Read more about our REF 2021 results,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/REF-Roundal-747x420px.jpg,REF_Roundal_747x420px,https://www.lse.ac.uk//international-relations/research
International Relations,Research,The downsides of being a nuclear superpower, Lauren Sukin explains the circumstances when a country's strength can also be a disadvantage,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/RFTW-march24/nuclear-superpower-diplomacy-Lauren-Sukin-747x420.jpg,nuclear_superpower_diplomacy_Lauren_Sukin_747x420,https://www.lse.ac.uk//international-relations/research
International Relations,Research,What really went wrong in the Middle East, Fawaz Gerges explains America’s concern over Communist Russia led to poor foreign policy decisions,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/RFTW-march24/USA-Middle-East-fawaz-gerges-747x420.jpg,USA Middle East fawaz_gerges_747x420,https://www.lse.ac.uk//international-relations/research
International Relations,Research,VIDEO: The Battle for the White House, Professor Peter Trubowitz outlines what you need to know about the 2024 US election,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/battle-whitehouse-uselections-747x420.jpg,battle-whitehouse-uselections-747x420,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Video: 2024 a year of unpredictable elections, Professor Michael Cox sets out the year before us,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/RFTW-jan24/year-unpredictable-elections-747x420.jpg,year-unpredictable-elections-747x420,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Research: Noah Zucker's, research explores why climate change is moving to the fore of the global governance agenda,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/RFTW-nov23/zucker-reinventing-climate-policy-747x420-RFTW-Nov-23.jpg,zucker-reinventing-climate-policy-747x420-RFTW-Nov-23,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Global Politics: A year of elections, Explore the debates at the forefront of politics and the implications of key elections,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/global-politics-LSE-fESTIVAL-2024-747x420-vote.jpg,global-politics-LSE-fESTIVAL-2024-747x420-vote,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Why does India want to be a space power? Chandrayaan-3 and the politics of India’s space programme, Dimitrios Stroikos explores how India’s space programme has developed.,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/RFTW-sept23/India-space-programme-Asian-space-race-747x420.jpg,India-space-programme-Asian-space-race_747x420,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Video: The international politics of outer space, Chris Alden and Dimitrios Stroikos explore complexities around the international politics of space,None,https://www.lse.ac.uk/international-relations/assets/images/research/specific-research/RFTW-sept23/space-politics-video-747x420.jpg,space-politics-video-747x420,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Three of our faculty have won prestigious book prizes," Congratulations to Rohan Mukherjee, Katharine Millar and Tomila Lankina! Click to find out more.",None,https://www.lse.ac.uk/international-relations/assets/images/research/book-prize-winners-16-9.jpg,book-prize-winners-16-9,https://www.lse.ac.uk//international-relations/research
International Relations,Research,Research news, Read about the latest research from the department,None,https://www.lse.ac.uk/international-relations/assets/images/research/research-planning-747x420-16-9.jpg,research-planning-747x420-16-9,https://www.lse.ac.uk//international-relations/research
